init_km,end_km,codigo_via,Trimestral 1,Trimestral 2,Trimestral 3,Trimestral 4,Trimestral 5,Trimestral 6,Trimestral 7,Trimestral 8,Trimestral 9,Trimestral 10,Trimestral 1_2402_emisiones,Trimestral 2_2402_emisiones,Trimestral 3_2402_emisiones,Trimestral 4_2402_emisiones,Trimestral 5_2402_emisiones,Trimestral 6_2402_emisiones,Trimestral 7_2402_emisiones,Trimestral 8_2402_emisiones,Trimestral 9_2402_emisiones,Trimestral 10_2402_emisiones,emisiones_per_range
43,44,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,45,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,46,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,47,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,48,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,49,2402,0.0,0.17300000000000182,0.0,0.0,0.17300000000000182,0.0,0.0,0.0,0.0,0.0,0.0,54.138823529412335,0.0,0.0,3.066096581784845,0.0,0.0,0.0,0.0,0.0,57.20492011119718
49,50,2402,0.0,1.0,0.0,0.29999999999999716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,312.94117647058823,0.0,91.38499999999912,17.723101628813946,0.0,0.0,0.0,0.0,0.0,422.0492780994013
50,51,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
51,52,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
52,53,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
53,54,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
54,55,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
55,56,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
56,57,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
57,58,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
58,59,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
59,60,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
60,61,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
61,62,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
62,63,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
63,64,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
64,65,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
65,66,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
66,67,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
67,68,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
68,69,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
69,70,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
70,71,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
71,72,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186731270965338,0.3186731270965338
72,73,2402,0.0,0.0,0.0049999999999954525,0.0,0.0049999999999954525,0.0,0.0,0.0,0.0,0.9899999999999949,0.0,0.0,2.9643189368743807,0.0,0.08861550814398914,0.0,0.0,0.0,0.0,0.3154863958255668,3.3684208408439367
73,74,2402,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.39700000000000557,0.0,0.0,0.0,592.8637873754153,0.0,17.723101628813946,0.0,0.0,0.0,1.8186755672045467,0.0,612.4055645714338
74,75,2402,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,296.43189368770766,152.3083333333333,17.723101628813946,0.0,0.0,0.0,4.5810467687771315,0.0,471.044375418632
75,76,2402,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,304.6166666666666,17.723101628813946,0.0,0.0,0.0,4.5810467687771315,0.0,326.9208150642577
76,77,2402,0.0,0.0,0.0,0.0,2.0,1.0,0.6770000000000067,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.44620325762789,9.592964824120603,70.90233240612031,0.0,4.5810467687771315,0.0,120.52254725664594
